date,ticker,close,high,low,open,volume,daily_return,sma_50d,vol_30d,is_benchmark
2015-11-19,CM.TO,29.71059226989746,29.78452864392857,29.485825061062354,29.5420174273609,1814200,0.005605459184905293,28.90334156036377,0.13272431080836494,0
2015-11-20,CM.TO,29.57158088684082,29.749027669404278,29.53904871346239,29.722411667380975,2006800,-0.004678849273479058,28.945447082519532,0.1334720864686029,0
2015-11-23,CM.TO,29.61299705505371,29.766785983560602,29.509486577996675,29.539060677675945,1612600,0.001400539537313783,28.98972499847412,0.1328573517871133,0
2015-11-24,CM.TO,29.51243782043457,29.76677908013674,29.382309104393833,29.462161637003792,2719400,-0.003395780387651759,29.03310230255127,0.13263333941337363,0
2015-11-25,CM.TO,29.391191482543945,29.68693702787332,29.31429926533711,29.610044810666484,1674200,-0.004108313200974267,29.070547943115233,0.13121048607089708,0
2015-11-26,CM.TO,29.456254959106445,29.515405420171827,29.278808088629052,29.391190580114213,707000,0.0022137066679022155,29.10158020019531,0.1312073003980369,0
2015-11-27,CM.TO,29.556808471679688,29.57159439410468,29.379359351705453,29.453295732908288,873200,0.0034136556976722687,29.134623527526855,0.1305053988487154,0
2015-11-30,CM.TO,29.657358169555664,29.757912812152327,29.438507132881643,29.544975692638538,1926000,0.00340191323336958,29.17821075439453,0.13076666133985163,0
2015-12-01,CM.TO,29.935361862182617,30.10393671814109,29.68102053475625,29.725382813978847,2090400,0.009373852216962852,29.219292678833007,0.13312594630165447,0
2015-12-02,CM.TO,29.8111515045166,29.988598378256462,29.577512255821347,29.920575910870483,1570000,-0.004149285324756002,29.264728355407716,0.1338625286106996,0
2015-12-03,CM.TO,29.15458869934082,29.988590826625902,29.06586415663351,29.932398465820683,3400400,-0.022024067237936373,29.297792739868164,0.13626894466200543,0
2015-12-04,CM.TO,28.926864624023438,29.163461910135634,28.77011988092666,29.154589906769242,3495600,-0.007810917096646608,29.32825439453125,0.13591687144498066,0
2015-12-07,CM.TO,28.299901962280273,28.974201683065946,28.116538847044072,28.938711392786608,3888200,-0.021674062152677198,29.34333770751953,0.1472665429684844,0
2015-12-08,CM.TO,27.93316078186035,28.178630081438985,27.737969930691598,28.095821704800176,3223800,-0.01295909720495625,29.355167541503906,0.1495192107594271,0
2015-12-09,CM.TO,28.039636611938477,28.50691515143629,27.850359628711953,27.882891821737726,2733200,0.0038118074395385726,29.362028999328615,0.1447245416984144,0
2015-12-10,CM.TO,27.593061447143555,28.18455256278342,27.51320888297083,28.083997899817682,4157400,-0.015926567486426846,29.34676887512207,0.14971829988412647,0
2015-12-11,CM.TO,27.244083404541016,27.5220827129945,27.208593122960707,27.483636600218937,3496800,-0.012647311472524736,29.322281188964844,0.14423362848255583,0
2015-12-14,CM.TO,27.25591468811035,27.486595887552255,27.164232020782567,27.29436080256407,2712600,0.0004342698336976536,29.299094848632812,0.14441326318328118,0
2015-12-15,CM.TO,27.495454788208008,27.666987690364092,27.270687614912404,27.377156157191443,2132000,0.008788554808698112,29.26999324798584,0.14822905275050163,0
2015-12-16,CM.TO,27.850357055664062,27.900633256110005,27.530951329843806,27.610803889478575,2512800,0.012907670383697889,29.24166088104248,0.1539510245787354,0
2015-12-17,CM.TO,27.835569381713867,28.05146234951349,27.678822359493676,27.989356060570064,2409800,-0.0005309689179437971,29.20776840209961,0.1537700498425695,0
2015-12-18,CM.TO,27.34463882446289,27.874023737022046,27.341680736582692,27.800087334536578,6331000,-0.017636806724474097,29.164412422180177,0.1593767361782512,0
2015-12-21,CM.TO,27.374204635620117,27.655164233707197,27.24407814101865,27.56643967507775,2408600,0.0010812288049231178,29.124190902709962,0.15768330341500705,0
2015-12-22,CM.TO,27.498424530029297,27.548700736204946,27.208592874007913,27.39195594262223,2923600,0.0045378448821684625,29.088938064575196,0.1584118845588613,0
